,GLD,NKE,CRM,IBM,UNH,PLTR,MSFT,NVDA,ACN,ARKK,PAVE,IONQ,AMD,SHOP
GLD,1.0,-0.018493455386359395,-0.05567008302981597,0.014311439296981936,0.055803539334145044,0.030500806022264414,-0.011796112165200998,0.053657629851198686,-0.10658806199852724,0.08904386621831524,0.08535983659921052,0.08980983725132553,0.12076775096697,0.028927081382311853
NKE,-0.018493455386359395,1.0,0.22004354177742977,0.22596428899788848,0.02165705960120942,0.0264452927505706,0.08745785562906234,0.05107932329460219,0.28209468687235084,0.22613342657146673,0.36604554580407167,0.10625636001586758,0.17828933063678515,0.3014638613324355
CRM,-0.05567008302981597,0.22004354177742977,1.0,0.27562426715481847,0.16432045868440243,0.3386501022799368,0.4240923904886287,0.2995755554356297,0.5092788693259221,0.5001845165113923,0.3939285624441923,0.2834691866295965,0.28540490712458894,0.4698901245985524
IBM,0.014311439296981936,0.22596428899788848,0.27562426715481847,1.0,0.12138810261262527,0.24249968404514266,0.1348954165768595,0.21119176577141965,0.4634970372511264,0.34467384628818437,0.3326264842522111,0.19774940390547285,0.31120301457768573,0.3465826043500796
UNH,0.055803539334145044,0.02165705960120942,0.16432045868440243,0.12138810261262527,1.0,0.061953781509036125,0.06254506843546388,0.05155731428056763,0.1655367079753355,0.12705640179763647,0.1653324986619201,0.09384733131784036,0.1098163208030915,0.05178110649328045
PLTR,0.030500806022264414,0.0264452927505706,0.3386501022799368,0.24249968404514266,0.061953781509036125,1.0,0.39777943003788174,0.48763456416437106,0.18205221102339741,0.6247431794374825,0.4347073576215264,0.41007168886870304,0.4444442578776979,0.43921586710125543
MSFT,-0.011796112165200998,0.08745785562906234,0.4240923904886287,0.1348954165768595,0.06254506843546388,0.39777943003788174,1.0,0.5386087335113771,0.22163828228758664,0.4832033226151911,0.36116662062318206,0.2887498292878774,0.4012230508820185,0.4217503131976047
NVDA,0.053657629851198686,0.05107932329460219,0.2995755554356297,0.21119176577141965,0.05155731428056763,0.48763456416437106,0.5386087335113771,1.0,0.09946939973107673,0.5631052973200958,0.4833860212714702,0.3406133498504502,0.5355052312410314,0.4609607299097186
ACN,-0.10658806199852724,0.28209468687235084,0.5092788693259221,0.4634970372511264,0.1655367079753355,0.18205221102339741,0.22163828228758664,0.09946939973107673,1.0,0.3005725260768291,0.31622563642370943,0.1532607285634888,0.19588387061345117,0.36030880514959696
ARKK,0.08904386621831524,0.22613342657146673,0.5001845165113923,0.34467384628818437,0.12705640179763647,0.6247431794374825,0.4832033226151911,0.5631052973200958,0.3005725260768291,1.0,0.7064388905467319,0.5093809426201628,0.5964447103038122,0.6424701825011009
PAVE,0.08535983659921052,0.36604554580407167,0.3939285624441923,0.3326264842522111,0.1653324986619201,0.4347073576215264,0.36116662062318206,0.4833860212714702,0.31622563642370943,0.7064388905467319,1.0,0.3467377329832016,0.46599207154756,0.4934078141482178
IONQ,0.08980983725132553,0.10625636001586758,0.2834691866295965,0.19774940390547285,0.09384733131784036,0.41007168886870304,0.2887498292878774,0.3406133498504502,0.1532607285634888,0.5093809426201628,0.3467377329832016,1.0,0.2993753440900865,0.33543737627308184
AMD,0.12076775096697,0.17828933063678515,0.28540490712458894,0.31120301457768573,0.1098163208030915,0.4444442578776979,0.4012230508820185,0.5355052312410314,0.19588387061345117,0.5964447103038122,0.46599207154756,0.2993753440900865,1.0,0.3693009760039115
SHOP,0.028927081382311853,0.3014638613324355,0.4698901245985524,0.3465826043500796,0.05178110649328045,0.43921586710125543,0.4217503131976047,0.4609607299097186,0.36030880514959696,0.6424701825011009,0.4934078141482178,0.33543737627308184,0.3693009760039115,1.0
